127.0.0.1, 2016-12-27 14:25:18, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.168359
127.0.0.1, 2016-12-27 14:25:18, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.223219
127.0.0.1, 2016-12-27 14:25:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.056580
127.0.0.1, 2016-12-27 14:25:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.342169
127.0.0.1, 2016-12-27 14:25:19, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.469846
127.0.0.1, 2016-12-27 14:25:24, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.334332
127.0.0.1, 2016-12-27 14:25:30, GET, /admin/default/peek/aces/views/layout.html, HTTP/1.1, 200, 0.110133
127.0.0.1, 2016-12-27 14:26:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056868
127.0.0.1, 2016-12-27 14:26:18, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.323092
127.0.0.1, 2016-12-27 14:27:09, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.093204
127.0.0.1, 2016-12-27 14:27:12, GET, /admin/default/index, HTTP/1.1, 303, 0.006584
127.0.0.1, 2016-12-27 14:27:12, GET, /admin/default/site, HTTP/1.1, 200, 0.059340
127.0.0.1, 2016-12-27 14:27:14, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.380600
127.0.0.1, 2016-12-27 14:27:23, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.063008
127.0.0.1, 2016-12-27 14:27:33, GET, /aces/default/index, HTTP/1.1, 200, 0.113746
127.0.0.1, 2016-12-27 14:27:38, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.129703
127.0.0.1, 2016-12-27 14:27:40, GET, /admin/default/peek/aces/views/layout.html, HTTP/1.1, 200, 0.157242
127.0.0.1, 2016-12-27 14:27:55, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.108574
127.0.0.1, 2016-12-27 14:28:07, GET, /admin/, HTTP/1.1, 303, 0.007013
127.0.0.1, 2016-12-27 14:28:07, GET, /admin/default/site, HTTP/1.1, 200, 0.106752
127.0.0.1, 2016-12-27 14:28:13, GET, /wlcome, HTTP/1.1, 404, 0.000814
127.0.0.1, 2016-12-27 14:28:16, GET, /welcome, HTTP/1.1, 200, 0.100602
127.0.0.1, 2016-12-27 14:28:23, GET, /aces, HTTP/1.1, 200, 0.422525
127.0.0.1, 2016-12-27 14:29:19, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.089877
127.0.0.1, 2016-12-27 14:30:58, GET, /admin/default/peek/aces/models/menu.py, HTTP/1.1, 200, 0.103887
127.0.0.1, 2016-12-27 14:36:41, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.338525
127.0.0.1, 2016-12-27 14:36:53, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.347911
127.0.0.1, 2016-12-27 14:36:56, GET, /aces, HTTP/1.1, 200, 0.141457
127.0.0.1, 2016-12-27 14:38:51, GET, /aces/default/index, HTTP/1.1, 200, 0.148439
127.0.0.1, 2016-12-27 14:38:53, GET, /admin/default/site, HTTP/1.1, 200, 0.053406
127.0.0.1, 2016-12-27 14:38:58, GET, /admin/default/about/aces, HTTP/1.1, 200, 0.074119
127.0.0.1, 2016-12-27 14:38:58, GET, /admin/static/_2.14.6/js/jquery.flot.js, HTTP/1.1, 200, 0.000937
127.0.0.1, 2016-12-27 14:38:58, GET, /admin/static/_2.14.6/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.001212
127.0.0.1, 2016-12-27 14:39:00, GET, /admin/default/site, HTTP/1.1, 200, 0.119620
127.0.0.1, 2016-12-27 14:39:25, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.353852
127.0.0.1, 2016-12-27 14:56:58, POST, /admin/default/create_file, HTTP/1.1, 303, 0.055819
127.0.0.1, 2016-12-27 14:56:58, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.375999
127.0.0.1, 2016-12-27 14:57:01, GET, /admin/default/peek/aces/models/test.py, HTTP/1.1, 200, 0.060885
127.0.0.1, 2016-12-27 14:57:07, GET, /aces/test, HTTP/1.1, 404, 0.048828
127.0.0.1, 2016-12-27 14:57:14, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.362798
127.0.0.1, 2016-12-27 14:57:21, GET, /admin/default/delete/aces/models/test.py, HTTP/1.1, 200, 0.044933
127.0.0.1, 2016-12-27 14:57:23, POST, /admin/default/delete/aces/models/test.py, HTTP/1.1, 303, 0.043709
127.0.0.1, 2016-12-27 14:57:23, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.335773
127.0.0.1, 2016-12-27 14:57:29, POST, /admin/default/create_file, HTTP/1.1, 303, 0.059582
127.0.0.1, 2016-12-27 14:57:30, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.421499
127.0.0.1, 2016-12-27 14:57:36, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.358452
